symbol,side,amount,open_time,open_price,close_time,close_price,notional,profit,profit_percent
SOL-PERP,buy,25.641025641025642,2021-01-03 11:00:00,1.95,2021-01-03 13:30:00,2.0475,50.0,2.4282499999999954,4.8531028280203765
SOL-PERP,buy,21.95675241157556,2021-01-04 22:30:00,2.3325,2021-01-05 03:00:00,2.449125,51.214124999999996,2.487213980624998,4.853102828020384
SOL-PERP,buy,16.091328831384203,2021-01-10 01:00:00,3.26,2021-01-10 01:30:00,3.423,52.457731990312496,2.5476097541095375,4.853102828020408
ETH-PERP,buy,0.04247888122963655,2021-01-10 03:30:00,1264.9,2021-01-10 04:00:00,1279.9,53.731536867367275,0.561513038577325,1.0443033777059711
ETH-PERP,sell,0.052648692257194596,2021-01-12 21:00:00,1025.9,2021-01-13 00:30:00,1112.450434628412,54.01229338665594,-4.6355741452572445,-8.588454644896489
SOL-PERP,buy,15.465223589593684,2021-01-12 23:30:00,3.4925,2021-01-13 01:30:00,3.6671250000000004,54.01229338665594,2.623107028322952,4.853102828020398
ETH-PERP,sell,0.052125144879721495,2021-01-13 07:30:00,1016.9,2021-01-13 08:30:00,1007.7,53.00605982818879,0.4056785350669931,0.7658798074769843
SOL-PERP,buy,15.041384903384392,2021-01-17 01:30:00,3.5375,2021-01-17 04:00:00,3.7143750000000004,53.20889909572229,2.5840901845837654,4.853102828020409
SOL-PERP,buy,14.71010639352609,2021-01-18 00:00:00,3.705,2021-01-18 01:00:00,3.8902500000000004,54.50094418801417,2.6468383544909133,4.853102828020396
ETH-PERP,buy,0.04415087263940179,2021-01-18 04:30:00,1264.4,2021-01-18 10:30:00,1211.9063865957742,55.82436336525963,-2.3941706013154778,-4.285755734576659
ETH-PERP,buy,0.043670379778241175,2021-01-18 21:30:00,1250.9,2021-01-19 08:00:00,1265.2,54.62727806460189,0.5475711010368254,1.0016755159229283
SOL-PERP,buy,13.776929388988783,2021-01-19 10:30:00,3.985,2021-01-19 14:30:00,3.8142282756799677,54.9010636151203,-2.427924579662793,-4.419269976838246
SOL-PERP,buy,13.388304569897482,2021-01-26 19:00:00,4.01,2021-01-26 22:00:00,3.7342282430614055,53.6871013252889,-3.7646937341334734,-7.0073820322965235
